tags,status,list_date,open_houses,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,list_price,property_id,flags.is_new_construction,flags.is_for_rent,flags.is_subdivision,flags.is_contingent,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_plan,flags.is_coming_soon,flags.is_new_listing,listing_id,price_reduced_amount,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line
"['carport', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'hardwood_floors', 'hill_or_mountain_view', 'recreation_facilities', 'rv_or_boat_parking', 'basement', 'garage_1_or_more', 'two_or_more_stories', 'big_yard', 'high_ceiling', 'efficient', 'trails', 'shopping']",sold,2023-06-29T21:16:25.000000Z,,1963.0,,2023-09-18,,2.0,,,10454.0,1821.0,2.0,,,1.0,,3.0,single_family,554950.0,9074430767.0,,,,,False,,,,,False,2957241843.0,45000.0,99801.0,Alaska,-134.59372,58.36395,Juneau,AK,9453 Herbert Pl
,sold,,,,,2023-08-22,,,,,,,,,,,,,,,9424983842.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,8477 Thunder Mountain Rd
,sold,,,,,2023-08-22,,,,,,,,,,,,,,,9479068516.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,4515 Glacier Hwy
,sold,,,,,2023-08-21,,,,,,,,,,,,,,,9879331943.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,17850 Point Stephens Rd
,sold,,,,,2023-08-21,,,,,,,,,,,,,,,9521639574.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,9951 Stephen Richards Memorial Dr
"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",sold,2023-08-21T21:01:22.000000Z,,1969.0,,2023-08-04,,1.0,,,,950.0,1.0,condo,,,,2.0,condos,415000.0,7412309719.0,,,,,,,,,,False,2958925334.0,,99801.0,Alaska,-134.649067,58.386651,Juneau,AK,11909 Glacier Hwy Apt 105
"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",sold,2023-08-21T21:01:22.000000Z,,1920.0,,2023-08-03,,3.0,,,5875.0,3860.0,3.0,,,2.0,,5.0,single_family,835000.0,7660490777.0,,,,,,,,,,False,2958924095.0,,99801.0,Alaska,-134.403991,58.304573,Juneau,AK,808 5th St
,sold,,,2002.0,,2023-07-21,,2.0,,,7476.0,1375.0,2.0,,,,1.0,3.0,mobile,,8274121172.0,,,,,,,,,,,,,99801.0,Alaska,-134.553717,58.396178,Juneau,AK,4446 Trafalgar Ave
,sold,,,,,2023-08-22,,,,,,,,,,,,,,,9424983842.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,8477 Thunder Mountain Rd
,sold,,,,,2023-08-22,,,,,,,,,,,,,,,9479068516.0,,,,,,,,,,,,,99801.0,Alaska,,,Juneau,AK,4515 Glacier Hwy
